Time (min),Interpolated Value
0.0,0.0
15.0,0.002619
30.0,0.005238
45.0,0.007857
60.0,0.010476
75.0,0.013095
90.0,0.015714
105.0,0.018333
120.0,0.020952
135.0,0.02395
150.0,0.0272
165.0,0.03045
180.0,0.0337
195.0,0.03695
210.0,0.0402
225.0,0.04345
240.0,0.0467
255.0,0.0504
270.0,0.0544
285.0,0.0584
300.0,0.0624
315.0,0.0664
330.0,0.0704
345.0,0.0744
360.0,0.0784
375.0,0.0827
390.0,0.0872
405.0,0.0917
420.0,0.0962
435.0,0.1013
450.0,0.1068
465.0,0.1123
480.0,0.1178
495.0,0.1239
510.0,0.1304
525.0,0.1372
540.0,0.1442
555.0,0.1518
570.0,0.1598
585.0,0.1684
600.0,0.1774
615.0,0.1879
630.0,0.1994
645.0,0.2133
660.0,0.2288
675.0,0.2494
690.0,0.2734
705.0,0.3274
720.0,0.5406
735.0,0.6846
750.0,0.7206
765.0,0.740045
780.0,0.748455
795.0,0.756864
810.0,0.765273
819.0,0.8011
834.0,0.8116
849.0,0.8215
864.0,0.829
879.0,0.8365
894.0,0.844
909.0,0.8515
924.0,0.859
939.0,0.8665
954.0,0.874
969.0,0.8809
984.0,0.8854
999.0,0.8899
1014.0,0.8944
1029.0,0.8989
1044.0,0.9034
1059.0,0.9079
1074.0,0.9124
1089.0,0.9169
1104.0,0.9214
1119.0,0.9259
1134.0,0.9304
1149.0,0.9349
1164.0,0.9394
1179.0,0.9439
1194.0,0.9484
1209.0,0.9526
1224.0,0.9556
1239.0,0.9586
1254.0,0.9616
1269.0,0.9646
1284.0,0.9676
1299.0,0.9706
1314.0,0.9736
1329.0,0.9766
1344.0,0.9796
1359.0,0.9826
1374.0,0.9856
1389.0,0.9886
1404.0,0.9916
1419.0,0.9946
1434.0,0.9976
1449.0,1.0
